Sales_Performance,Industry_Type,Current_Situation,Direct_Export,Indirect_Export,Hours_Worked_Per_Week,Demand_For_Product,Supply_Of_Raw_Materials,Financial_Performance,Online_Business
Affeced,Manufacturing,Open,Medium,Very_Low,Remain_the_Same,Decrease,Decrease,Decrease,No
Not_Affected,Manufacturing,Temporarily_Closed,High,Very_Low,Remain_the_Same,Remain_the_Same,Remain_the_Same,Remain_the_Same,No
Affeced,Manufacturing,Open,High,Very_Low,Remain_the_Same,Decrease,Remain_the_Same,Decrease,No
Affeced,Manufacturing,Temporarily_Closed,High,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Other,Temporarily_Closed,Very_Low,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Retail,Open,Very_Low,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Other,Temporarily_Closed,High,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Other,Open,Very_Low,Very_Low,Decrease,Decrease,Decrease,Increase,No
Not_Affected,Other,Open,Very_Low,Very_Low,Remain_the_Same,Decrease,Decrease,Decrease,No
Affeced,Other,Open,Very_Low,Very_Low,Remain_the_Same,Decrease,Decrease,Remain_the_Same,No
Affeced,Other,Open,Very_Low,Very_Low,Remain_the_Same,Decrease,Decrease,Decrease,No
Affeced,Manufacturing,Open,Very_Low,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Other,Open,Medium,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Retail,Open,Very_Low,Very_Low,Remain_the_Same,Decrease,Decrease,Decrease,No
Affeced,Manufacturing,Open,Very_Low,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Other,Open,Very_Low,Very_Low,Remain_the_Same,Decrease,Decrease,Decrease,No
Affeced,Other,Open,Very_Low,Very_Low,Remain_the_Same,Decrease,Decrease,Decrease,No
Not_Affected,Manufacturing,Open,Very_Low,Very_Low,Remain_the_Same,Remain_the_Same,Decrease,Decrease,No
Not_Affected,Other,Open,Very_Low,Very_Low,Remain_the_Same,Remain_the_Same,Remain_the_Same,Remain_the_Same,No
Affeced,Manufacturing,Open,Very_Low,Very_Low,Decrease,Decrease,Remain_the_Same,Decrease,No
Affeced,Manufacturing,Open,Very_Low,Very_Low,Decrease,Decrease,Remain_the_Same,Decrease,No
Affeced,Manufacturing,Open,Very_Low,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Other,Temporarily_Closed,Very_Low,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Other,Open,Very_Low,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Retail,Open,Very_Low,Very_Low,Decrease,Decrease,Remain_the_Same,Decrease,No
Affeced,Manufacturing,Temporarily_Closed,High,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Other,Open,Very_Low,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Not_Affected,Manufacturing,Open,Very_Low,Very_Low,Remain_the_Same,Increase,Increase,Increase,No
Affeced,Other,Open,Very_Low,Very_Low,Remain_the_Same,Remain_the_Same,Remain_the_Same,Decrease,No
Affeced,Manufacturing,Open,High,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Manufacturing,Open,Very_Low,Very_Low,Remain_the_Same,Decrease,Decrease,Decrease,No
Affeced,Manufacturing,Open,Very_Low,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Manufacturing,Temporarily_Closed,Very_Low,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Manufacturing,Open,Medium,Very_Low,Decrease,Remain_the_Same,Remain_the_Same,Decrease,Yes
Affeced,Manufacturing,Open,High,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Retail,Open,High,Very_Low,Decrease,Increase,Decrease,Increase,No
Affeced,Manufacturing,Temporarily_Closed,Low,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Manufacturing,Open,Very_Low,Very_Low,Remain_the_Same,Decrease,Decrease,Decrease,No
Affeced,Other,Open,Very_Low,Very_Low,Remain_the_Same,Decrease,Decrease,Increase,Yes
Affeced,Manufacturing,Temporarily_Closed,High,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Other,Temporarily_Closed,High,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Other,Open,Very_Low,Very_Low,Remain_the_Same,Decrease,Decrease,Decrease,No
Affeced,Manufacturing,Open,High,Very_Low,Remain_the_Same,Decrease,Decrease,Decrease,No
Affeced,Other,Temporarily_Closed,Very_Low,Very_Low,Decrease,Decrease,Decrease,Decrease,No
Affeced,Retail,Open,Very_Low,Very_Low,Remain_the_Same,Decrease,Decrease,Increase,Yes
Affeced,Retail,Open,High,Very_Low,Decrease,Remain_the_Same,Decrease,Decrease,No
Not_Affected,Retail,Open,Very_Low,Very_Low,Remain_the_Same,Increase,Increase,Increase,No
Affeced,Manufacturing,Open,Very_Low,Very_Low,Decrease,Decrease,Decrease,Decrease,Yes
